Interval_Sample_Size,Percent of adults aged 18 years and older who have an overweight classification,Percent of adults aged 18 years and older who have obesity,Percent of adults who engage in no leisure-time physical activity,Percent of adults who report consuming fruit less than one time daily,Percent of adults who report consuming vegetables less than one time daily
"(0, 250]",33.04347826086957,28.09130434782608,22.186666666666667,41.269565217391296,20.98275862068965
"(250, 500]",31.768965517241387,37.27241379310344,29.474074074074068,44.02916666666666,25.066666666666674
"(500, 750]",32.29583333333333,34.55,28.97407407407408,42.6888888888889,25.176000000000002
"(750, 1000]",35.49230769230769,34.753846153846155,24.5,40.48,23.243750000000002
"(1000, 1250]",34.92727272727273,34.91818181818183,21.958333333333332,40.823076923076925,22.11666666666667
"(1250, 1500]",36.388888888888886,33.18888888888889,22.914285714285715,42.26,20.49230769230769
"(1500, 1750]",35.58235294117646,33.10588235294117,21.763636363636365,40.035714285714285,20.880000000000003
"(1750, 2000]",36.16666666666667,33.03333333333333,25.683333333333337,38.51428571428572,22.214285714285715
"(2000, 2250]",36.03333333333333,32.63333333333333,22.879999999999995,0.0,18.1
"(2250, 2500]",32.3,31.799999999999997,25.2,39.516666666666666,18.200000000000003
"(2500, 2750]",35.6,31.799999999999997,19.8,45.599999999999994,19.4
"(2750, 3000]",33.075,27.85,25.78,39.53333333333333,15.875
"(3000, 3250]",39.95,30.05,22.299999999999997,38.53333333333333,22.46666666666667
"(3250, 3500]",34.724999999999994,27.025,20.900000000000002,39.9,17.04
"(3500, 3750]",38.833333333333336,29.933333333333334,0.0,36.44,17.85
"(3750, 4000]",35.166666666666664,28.366666666666664,21.025,36.55,15.3
"(4000, 4250]",31.9,39.9,18.333333333333332,45.9,20.6
"(4250, 4500]",29.9,25.8,22.5,38.95,18.325000000000003
"(4500, 4750]",36.8,20.5,22.4,40.99999999999999,20.35
"(4750, 5000]",36.275,31.475,0.0,42.4,17.6
"(5000, 5250]",34.85,31.15,15.266666666666666,36.75,0.0
"(5250, 5500]",0.0,0.0,21.733333333333334,0.0,0.0
"(5500, 5750]",0.0,0.0,25.9,0.0,0.0
"(5750, 6000]",0.0,0.0,18.4,0.0,22.5
"(6000, 6250]",36.4,27.6,0.0,36.2,0.0
"(6250, 6500]",0.0,0.0,0.0,0.0,16.549999999999997
"(6500, 6750]",35.4,25.95,20.1,39.8,20.5
"(6750, 7000]",0.0,0.0,0.0,36.0,0.0
"(7000, 7250]",35.3,30.4,19.7,0.0,0.0
"(7250, 7500]",0.0,0.0,13.4,0.0,0.0
"(7500, 7750]",0.0,0.0,0.0,0.0,0.0
"(7750, 8000]",0.0,0.0,0.0,0.0,0.0
"(8000, 8250]",0.0,0.0,0.0,0.0,0.0
"(8250, 8500]",0.0,0.0,22.9,0.0,0.0
"(8500, 8750]",0.0,0.0,0.0,0.0,0.0
"(8750, 9000]",0.0,0.0,0.0,0.0,18.8
"(9000, 9250]",0.0,0.0,0.0,38.3,0.0
"(9250, 9500]",35.5,25.1,0.0,0.0,21.7
"(9500, 9750]",36.6,31.3,0.0,41.6,0.0
"(9750, 10000]",0.0,0.0,0.0,0.0,0.0
"(10000, 10250]",0.0,0.0,0.0,0.0,0.0
"(10250, 10500]",0.0,0.0,16.7,0.0,0.0
"(10500, 10750]",0.0,0.0,22.7,0.0,0.0
